"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","3470","2","","0"
"0","campaign_manager","0","destination","24","0","dataDelivery","0"
"0","snapchat_conversion","0","destination","78","0","processor","0"
"0","criteo_audience","0","destination","14","0","processor","0"
"0","tiktok_ads","0","destination","7","0","router","0"
"0","slack","0","destination","3","0","processor","0"
"0","tiktok_ads","0","destination","51","0","processor","0"
"0","rudder_test","0","destination","10","0","processor","0"
"0","klaviyo","0","destination","32","0","processor","0"
"0","active_campaign","0","destination","3","0","router","0"
"0","criteo_audience","0","destination","16","0","dataDelivery","0"
"0","rudder_test","0","destination","10","0","router","0"
"0","campaign_manager","0","destination","4","0","router","0"
"0","campaign_manager","0","destination","9","0","processor","0"
"0","tiktok_ads","0","destination","12","0","dataDelivery","0"
"0","loops","0","destination","9","0","processor","0"
"0","snapchat_conversion","0","destination","5","0","router","0"
"0","userpilot","0","destination","4","0","processor","0"
"0","active_campaign","0","destination","9","0","processor","0"
"0","branch","0","destination","6","0","processor","0"
"0","klaviyo","0","destination","8","0","router","0"
"0","criteo_audience","0","destination","2","0","router","0"
"0","slack","0","destination","2","0","router","0"
"0","slack","0","source","3","0","","0"
"0","branch","0","destination","1","0","router","0"
